timestamp,iops,mbps
2019-07-15T14:41:04.114345,0,0
2019-07-15T14:41:05.044387,322,338
2019-07-15T14:41:06.189124,288,302
2019-07-15T14:41:07.116301,284,297
2019-07-15T14:41:08.078337,286,299
2019-07-15T14:41:09.045551,260,273
2019-07-15T14:41:09.984731,292,307
2019-07-15T14:41:10.970043,326,341
2019-07-15T14:41:11.986718,343,359
2019-07-15T14:41:12.860364,370,388
2019-07-15T14:41:13.861728,251,263
2019-07-15T14:41:14.858813,345,362
2019-07-15T14:41:15.863967,349,366
2019-07-15T14:41:16.862554,292,307
2019-07-15T14:41:17.142192,261,274
